seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
VideoOverlap,0.8954476098788435,0.8994918676684908,0.805447843009207,0.8954476098788435,0.8953871282487343,0.8953065052219952,0.8952663380455069,0.895141977682192,0.8949779236372791,0.8946059051659454,0.894204985801358,0.8936191124631399,0.8926102327238954,0.8909880449890345,0.8890875968658488,0.8854112432672505,0.8784418531636864,0.8667436317494893,0.846080035555487,0.7822361560287546,0.5599829214214839,0.2383787995035252,0.8307325263901817,0.976931330472103,0.9766662196593805,0.9763128491620112,0.9761362112883765,0.9756064870660769,0.9749006297172971,0.973402356301321,0.971730503411067,0.9693595795849292,0.9662946329316555,0.9617585732664922,0.9557717823971694,0.946131502508582,0.9296561354512132,0.9020991052993806,0.8531556449585115,0.745756020529017,0.45983955630385265,0.0955306708948568,0.8730020942738574,0.8207602694554285,0.8208721601051386,0.8210213959396614,0.8210962842773046,0.8213138912374985,0.8216073098961545,0.8221879887355008,0.8228645224423446,0.8237965920771565,0.8245446061788896,0.8254251309838986,0.8270559661408885,0.8285878523497818,0.8300489395631455,0.832773825808172,0.8390631074126993,0.8205007897416412,0.6819354011305019,0.594829404215994,0.8052781809311476,0.9896739130434783,0.9895380434782609,0.9893568840579711,0.9892663043478261,0.9889945652173913,0.9886322463768116,0.9878623188405797,0.9870018115942029,0.9857789855072464,0.9841938405797102,0.9818387681159421,0.978713768115942,0.9736413043478261,0.9648550724637681,0.9498188405797101,0.9220108695652174,0.8555253623188406,0.6308423913043478,0.1746376811594203,0.9111675247902365,0.9869918699186991,0.9868563685636856,0.9866757000903342,0.9865853658536585,0.9863143631436314,0.9859530261969286,0.9851851851851852,0.984327009936766,0.9831074977416441,0.9815266485998193,0.9791779584462511,0.9760614272809395,0.9710027100271003,0.9622402890695574,0.9472448057813911,0.9195121951219513,0.8532068654019873,0.6291327913279133,0.17416440831074978,0.9086982361051679,0.8207731220287514,0.8208850077517248,0.8210342422877094,0.821109131801597,0.8213267655505174,0.8216201430704889,0.8222023044802698,0.8228792633155237,0.8238113806619639,0.8247271745144341,0.8258963340225685,0.8277562168760396,0.8298357432542068,0.8324299249777986,0.8370438378787484,0.8468247766043696,0.8442366710961476,0.7610124540682687,0.6305332987108534,0.8134704101553675,0.9978429828486686,0.9978953206649781,0.9979315569333534,0.9979313675415056,0.9978794082972424,0.9978939013385962,0.9977315339424154,0.9975243425012501,0.9974171244624817,0.9970824714281867,0.996497607976193,0.9962674928864004,0.9948913848014781,0.992090744187961,0.985831415162755,0.9752852838392094,0.939578836058481,0.8174305199920593,0.6531999675166384,0.9646422769673606,0.8994918676684908,0.8996067114615895,0.8997507262219765,0.8998177129281854,0.8999995289127617,0.9002299745282186,0.9006745713118574,0.9011301072628249,0.9017200723675876,0.9024013097679926,0.9033024220962185,0.9043585049040638,0.9058089397219866,0.9078941240473801,0.9107292700357373,0.9147281035722292,0.9213422291405987,0.9363819088004717,0.9642817808661223,0.9091394666113838,0.9012685657131139,0.9012681239543605,0.9012675352145939,0.9012673780076261,0.9012629886838989,0.9012588309815579,0.901226127603458,0.9012040692025268,0.9011555741391972,0.9008394544448449,0.9002412975292631,0.8996949822381582,0.8981911585673762,0.8949172753560368,0.8893729643373737,0.8795597224098408,0.8378300755085201,0.6558915757686292,0.3223036267833806,0.8521063856023031,21852.0,21849.0,21845.0,21843.0,21837.0,21829.0,21812.0,21793.0,21766.0,21731.0,21679.0,21610.0,21498.0,21304.0,20972.0,20358.0,18890.0,13929.0,3856.0,20118.57894736842,228.0,231.0,235.0,237.0,243.0,251.0,268.0,287.0,314.0,349.0,401.0,470.0,582.0,776.0,1108.0,1722.0,3190.0,8151.0,18224.0,1961.421052631579,288.0,291.0,295.0,297.0,303.0,311.0,328.0,347.0,374.0,409.0,461.0,530.0,642.0,836.0,1168.0,1782.0,3250.0,8211.0,18284.0,2021.421052631579,0.9080615942028986,0.9024498028257614,0.9656702898550724,0.9841938405797102,0.9815266485998193,0.9491525423728814,0.05084745762711865,0.0,0.8120532909966767,0.982858435097241,0.19103222793087343,0.9655296880837269,19611.13666520662,21731,349,409,1272,56,3,0,38.0,2141,0.8569877883310719,0.8581521739130434,0.8558265582655826,18948,3132,3192,22140,22080,1512,59
VideoOverlapPretrained,0.5217777428717487,0.6928515432824506,0.3615145143991248,0.5217777428717487,0.5205675064183756,0.519627491891876,0.5177148798639782,0.5145370829329244,0.5096801856701477,0.5034072917456495,0.4924444229181528,0.4842302847360682,0.4536325724761131,0.4377807237193723,0.4302866218797165,0.4242798387256346,0.4187645788762392,0.4136046789520593,0.4050199343616251,0.37531322127999156,0.26640095195935537,0.042612378571253016,0.43429907315001476,0.7709677419354839,0.7630321135175504,0.7569307483347598,0.744595942800133,0.7248383443539254,0.6971243709561467,0.6631089506498996,0.6050448735382105,0.5592985237293173,0.47139117427075544,0.40071795176076186,0.36563214068781996,0.33656050955414013,0.3124478790237394,0.2927904493305222,0.2696372388200177,0.22774079467443312,0.12881939463491607,0.015092879256965945,0.4792511590436579,0.35313022601031113,0.3551495722629405,0.35672052023763984,0.35996529315567144,0.36525166166409556,0.37263636517033716,0.38216781892978324,0.40079921385843764,0.4192375962162454,0.4365429860447485,0.4782714655486116,0.5063739107299594,0.53486186417867,0.5612576826231873,0.584270528093359,0.6083771957767014,0.6185102421765515,0.5509222225891033,0.12030937083537026,0.44025030190009073,0.9308876811594203,0.9254528985507247,0.9212409420289855,0.9126358695652174,0.8985960144927536,0.8783514492753624,0.8525815217391305,0.8060688405797102,0.766983695652174,0.685054347826087,0.6117300724637681,0.5725090579710145,0.5384510869565218,0.5090579710144928,0.4842844202898551,0.4541213768115942,0.39664855072463767,0.2440217391304348,0.03179347826086956,0.6537090007627766,0.8177767167979629,0.8130023076310973,0.8093021405267765,0.8017426593459059,0.7894087689981698,0.7716240948515954,0.7489854380520411,0.708124452932283,0.6737884936739078,0.6018142754834089,0.5373995384737805,0.5029442189862338,0.4730245882072094,0.4472029919630779,0.42543964351078223,0.3989416726346781,0.3484522956950744,0.21437097159226545,0.02793029362616376,0.5742776612096006,0.3532013371226482,0.3552170397482967,0.35678694893959007,0.36003054335734813,0.36531618035329416,0.37279945557937333,0.3823719081445302,0.4011369091269336,0.4196852147068335,0.4382177962929089,0.47931682823464306,0.5080733193269131,0.5370900946490327,0.5641529011898951,0.5879643281343752,0.6142771525446141,0.6371147281622148,0.6102595299710113,0.1648106788576369,0.4477801523390575,0.9397960085219375,0.9420948189647896,0.9439564373582429,0.9442109655440083,0.9450045252400104,0.946628961933521,0.9371191084570385,0.9315289812196845,0.9380638853194421,0.9059826271266489,0.9324602620114963,0.9357098015311642,0.945889254569171,0.9506062396335042,0.9501022183963564,0.9369051085224611,0.8834516153672183,0.714926604049297,0.30671015982929184,0.8911130307155413,0.6928515432824506,0.6964902446703733,0.699104790417129,0.7040027484138195,0.7114322893259756,0.7215051830007497,0.7334024363848437,0.7540346336857447,0.7708627969792843,0.8055200715746719,0.8397568708078671,0.8578992757433437,0.8727406031915182,0.8841778322069549,0.8923123956907563,0.8999308060610225,0.9101651872433418,0.9305350807265166,0.9606062765647703,0.807227950840586,0.5733450769284066,0.5733011434401543,0.5732587095760457,0.5731642332982969,0.5728993693993841,0.5721063637122635,0.5708145238366654,0.568394016171995,0.5670523793286382,0.5468598271979189,0.5409002110162324,0.5384270151219268,0.5366534749152346,0.5345209978405487,0.5319333736382216,0.5256206709851625,0.49530918744525004,0.3666565134861203,0.06184701582318454,0.5170033738506131,20554.0,20434.0,20341.0,20151.0,19841.0,19394.0,18825.0,17798.0,16935.0,15126.0,13507.0,12641.0,11889.0,11240.0,10693.0,10027.0,8758.0,5388.0,702.0,14433.894736842105,1526.0,1646.0,1739.0,1929.0,2239.0,2686.0,3255.0,4282.0,5145.0,6954.0,8573.0,9439.0,10191.0,10840.0,11387.0,12053.0,13322.0,16692.0,21378.0,7646.105263157895,4580.0,4700.0,4793.0,4983.0,5293.0,5740.0,6309.0,7336.0,8199.0,10008.0,11627.0,12493.0,13245.0,13894.0,14441.0,15107.0,16376.0,19746.0,24432.0,10700.105263157895,0.2418478260869565,0.7955490597308577,0.31476449275362317,0.7265398550724638,0.6382589321238163,0.3050847457627119,0.6271186440677966,0.06779661016949153,0.09330606957438493,0.6795442029906383,4.246613731900981,0.31461925607445507,12762.19801620242,16042,6038,9092,1610,18,37,4,637.0,2141,0.339475579277333,0.36295289855072466,0.3188509588605077,8014,14066,17120,25134,22080,3342,59
VideoSORT,0.9427416637422215,0.898780181530113,0.8473175236742345,0.9427416637422215,0.9426768229359211,0.9426341193917458,0.9426341193917458,0.9426034922485703,0.9425450396838264,0.9422229846258665,0.9417030801436944,0.9405974531919581,0.9388406535576569,0.9368716563219079,0.9329737594424621,0.9266681496332276,0.9151656844654089,0.8946831841042727,0.8639145438239668,0.7871296284806953,0.5534131095284074,0.23470645088066108,0.8665645050312746,0.9727034831257896,0.9724365047142148,0.9722585592494023,0.9722585592494023,0.972169598556608,0.9719917012448133,0.971458201821625,0.9706584937125343,0.9687950288184438,0.9659622302158274,0.9630494320477708,0.956461428315733,0.9467052537845058,0.9278218694885362,0.896218232283806,0.8446966500717239,0.7348331547831607,0.44486302501569674,0.08972409839742791,0.8692139739419487,0.9137027470071447,0.9138278830469455,0.9139123277324835,0.9139123277324835,0.9139365650997205,0.9139904699750404,0.9138675766930084,0.9136114265690991,0.9132205911814176,0.9124805765704007,0.9114054494098041,0.910062873461599,0.9070551326423031,0.902682139282543,0.893150765164838,0.8835696684332768,0.8431479282055327,0.6884502702536238,0.6139612330345282,0.8784183132366207,0.9764039855072464,0.976268115942029,0.9761775362318841,0.9761775362318841,0.9761322463768116,0.9760416666666667,0.9757699275362319,0.9753623188405797,0.974411231884058,0.9729619565217391,0.9714673913043478,0.9680706521739131,0.9629981884057971,0.9530344202898551,0.9359148550724637,0.9067481884057971,0.8387681159420289,0.6096920289855072,0.16304347826086957,0.8981812547673532,0.9961188374994224,0.9959802245529732,0.9958878159220071,0.9958878159220071,0.9958416116065241,0.9957492029755579,0.9954719770826596,0.995056138243312,0.9940858476181675,0.9926073095227094,0.9910825671117682,0.9876172434505383,0.9824423601164348,0.9722774107101604,0.9548121794575614,0.9250566002864667,0.8557039227463845,0.6220024950330361,0.16633553573903803,0.9163166892419331,0.9150524102608357,0.9151774336517202,0.9152620022225849,0.9152620022225849,0.9152876645359547,0.9153436788811912,0.915297914340106,0.9152043771250731,0.9151377599328367,0.9148799804418335,0.9144693923839674,0.9140370230019313,0.9125696701039998,0.911044698356097,0.9065726817857601,0.9030904078036937,0.8789311570514637,0.7696037913547962,0.647262959758311,0.8899730002744599,0.995999546927195,0.9960577317670082,0.9961037610638224,0.9961037610638224,0.9960611599431793,0.9959770622698318,0.9958499234407061,0.9954552058180335,0.9947275438728675,0.9936305989197929,0.9926846767385857,0.9904737994117887,0.9870924019524966,0.9808606838986205,0.9697380914435252,0.9554715118161218,0.9194898697347962,0.8023661247028101,0.6518932383504735,0.9582124575334463,0.898780181530113,0.898894942788398,0.8989685628979149,0.8989685628979149,0.8990002609623884,0.8990586038642743,0.8992193349181902,0.8994373286326507,0.8999011053024153,0.900536873292248,0.9011109933036772,0.902252777446518,0.9037116783007771,0.9060898071230983,0.9093461813483867,0.9135548777540464,0.9203528575801425,0.9358590848399377,0.9641985397217814,0.9078548712897302,0.944533220033417,0.9445321729181777,0.9445319922680449,0.9445319922680449,0.9445226055191571,0.9445066339798194,0.9443116535802408,0.9439820758561501,0.9433198827730565,0.9422361100424997,0.9409573180323904,0.938618750841488,0.9346081796767659,0.9275166571642499,0.9142828167132474,0.8950839045487213,0.8409551707441841,0.6478754835047802,0.31638959362039987,0.8840682217939386,21559.0,21556.0,21554.0,21554.0,21553.0,21551.0,21545.0,21536.0,21515.0,21483.0,21450.0,21375.0,21263.0,21043.0,20665.0,20021.0,18520.0,13462.0,3600.0,19831.842105263157,521.0,524.0,526.0,526.0,527.0,529.0,535.0,544.0,565.0,597.0,630.0,705.0,817.0,1037.0,1415.0,2059.0,3560.0,8618.0,18480.0,2248.157894736842,84.0,87.0,89.0,89.0,90.0,92.0,98.0,107.0,128.0,160.0,193.0,268.0,380.0,600.0,978.0,1622.0,3123.0,8181.0,18043.0,1811.157894736842,0.9641304347826087,0.9003632357199985,0.9663496376811594,0.9732789855072463,0.9929307397310909,0.6101694915254238,0.3898305084745763,0.0,0.8671560659249442,0.9830066555359879,0.07146193367585241,0.9662730889456509,19348.805935622768,21490,590,153,49,36,23,0,57.0,2141,0.9352972119936875,0.9260416666666667,0.944739638682253,20447,1633,1196,21643,22080,115,59
VideoSORTPretrained,0.5870732630036738,0.6985690768342485,0.4101112273705464,0.5870732630036738,0.5857717681224502,0.5849100130292406,0.5833311817637215,0.5794608697476772,0.5720972036573768,0.56077293447918,0.5461001605214499,0.5360885856694744,0.503698365634737,0.4847165652460392,0.4762719247814224,0.4677576268564212,0.4577214357610394,0.4461118668469921,0.4316516031451035,0.38657060441151103,0.26593239060894924,0.020225732391819948,0.47769811029885684,0.8042603841733705,0.7965180432383833,0.7915393079838611,0.7826034063260341,0.7678355988096196,0.7437128123760413,0.7092697721440236,0.6450490232767009,0.5950290275761974,0.5004095842719639,0.42432686388231866,0.390095816336211,0.3601596584052724,0.3323735337798927,0.3090827873734366,0.2824634594626134,0.2301729445346169,0.1221473426252106,0.009206115983286653,0.5050660780294238,0.428536606944804,0.430785676786746,0.4322207626217371,0.43479911391556153,0.4373005107985205,0.4400827913491704,0.44336625695157283,0.46232979906959154,0.48298647354358715,0.5070087614573286,0.5537008580467297,0.5814852065460223,0.6075005691951977,0.6303417434370395,0.6438915587403959,0.6596361414400912,0.6492371746697899,0.5789731880781376,0.04443570464766944,0.4972957314862996,0.8874547101449275,0.8826992753623188,0.8796195652173913,0.8740489130434783,0.8647192028985508,0.8491394927536232,0.8261322463768116,0.780661231884058,0.7427083333333333,0.6639945652173913,0.5931159420289855,0.558695652173913,0.5271739130434783,0.4966485507246377,0.47006340579710143,0.4384963768115942,0.37250905797101447,0.21671195652173914,0.018161231884057973,0.6285659801678107,0.8956076603135427,0.8908085378673614,0.8877005347593583,0.8820787056081174,0.8726632844279903,0.8569404451757393,0.8337218337218337,0.787833081950729,0.7495315142373966,0.6700946112710818,0.5985648338589515,0.5638283285342108,0.5320170026052379,0.50121120709356,0.47438182732300377,0.44252479546597195,0.3759312582841995,0.2187028657616893,0.018328077151606562,0.634340547653241,0.42866548194696835,0.4309075015372525,0.43233559890287865,0.4349166453773722,0.4377106752638941,0.4412720190114451,0.4449345789190133,0.46290319157327486,0.4836489235210338,0.5092852120048627,0.5559883791579409,0.5847186336314759,0.612191764896224,0.6372607878488873,0.6531900778558904,0.6713015152779022,0.6760562072811389,0.6446238215277258,0.08179233614466533,0.5065107027199919,0.9152200584396192,0.9174878372295145,0.9187964936414287,0.9194290394999003,0.9195472493547361,0.9200241461711983,0.9095188169362884,0.9020031819912464,0.9095657611315897,0.8749591871123147,0.9003169866369045,0.9073310740030006,0.9183489758414982,0.9200103115695366,0.9124727457316113,0.9032094976042032,0.847847432270813,0.684848671791925,0.09930873760207598,0.852644537082074,0.6985690768342485,0.7019259896277938,0.703943355441155,0.7072999195192358,0.7124727300553565,0.7205619576614689,0.7314834283065358,0.7522339595285951,0.7690503841274292,0.8031000381575338,0.8370628050332414,0.8531443637329343,0.8668082656587728,0.878555934043186,0.8871613816898443,0.8951133181057199,0.9069440601920842,0.9283417270691007,0.9566825778818767,0.8058134354034796,0.6166902223180547,0.6166475530934399,0.6165953610717986,0.6164703503901579,0.6149326378757479,0.6113032620686996,0.6052100146420922,0.600768633067986,0.5989307796299183,0.5802163924996148,0.5730696345320032,0.569976540482775,0.5659138205051832,0.5595161421614636,0.5501543956613588,0.5378178669730677,0.49177914589377053,0.35421802941414776,0.028407871022620424,0.5425588764896789,19595.0,19490.0,19422.0,19299.0,19093.0,18749.0,18241.0,17237.0,16399.0,14661.0,13096.0,12336.0,11640.0,10966.0,10379.0,9682.0,8225.0,4785.0,401.0,13878.736842105263,2485.0,2590.0,2658.0,2781.0,2987.0,3331.0,3839.0,4843.0,5681.0,7419.0,8984.0,9744.0,10440.0,11114.0,11701.0,12398.0,13855.0,17295.0,21679.0,8201.263157894737,2284.0,2389.0,2457.0,2580.0,2786.0,3130.0,3638.0,4642.0,5480.0,7218.0,8783.0,9543.0,10239.0,10913.0,11500.0,12197.0,13654.0,17094.0,21478.0,8000.263157894737,0.36367753623188404,0.7961708043951256,0.3778532608695652,0.684375,0.690662278897573,0.2711864406779661,0.6101694915254238,0.11864406779661017,0.2241819304897981,0.687504265338156,3.161139654367118,0.37774023802819084,12030.937025214742,15111,6969,6768,313,16,36,7,348.0,2141,0.4078800700652881,0.4060235507246377,0.4097536450477627,8965,13115,12914,21879,22080,520,59
COMBINED,0.7467763503378948,0.8013622535554591,0.5984383790086965,0.7467763503378948,0.7458589984583249,0.7451919968706209,0.7439313327376442,0.7415769619047899,0.7377004167846666,0.7321558207734045,0.7233076699302137,0.7163489295451139,0.6970390843457328,0.6838620306705473,0.6766972516262796,0.6692215889947473,0.6599717231473584,0.6478189073663568,0.6301078561162914,0.5794082551622538,0.41607580503975944,0.16433745287120965,0.6556520227728005,0.8744610490183766,0.8699405973670749,0.8666861204327073,0.8605781715817138,0.8505248367633689,0.8353365507772074,0.8148804879778707,0.7777910115928219,0.7474561223792938,0.6879423267210102,0.6374972573685366,0.611421991111431,0.5875418786449932,0.563471626965076,0.5387047170702792,0.5048223947306516,0.43611042069225403,0.2653724426359218,0.050182636889720154,0.6516169810905426,0.6377355721561324,0.6394754392023393,0.6407292087737315,0.6430953585676182,0.6465847517406953,0.651476227656911,0.657829158755038,0.6726408219972585,0.6865363377143248,0.7062561296691022,0.7335988846811407,0.7489412828056181,0.7622563624052077,0.7729984164421639,0.779034085730106,0.786486325653813,0.7697911130334294,0.6523626711948947,0.5381701737903166,0.6908420169457812,0.9461050724637681,0.9434895833333333,0.941598731884058,0.9380321557971014,0.9321105072463768,0.923041213768116,0.9105865036231884,0.8872735507246376,0.8674705615942029,0.8265511775362319,0.7895380434782608,0.7694972826086957,0.7505661231884058,0.7308990036231884,0.7100203804347827,0.6803442028985507,0.6158627717391304,0.4253170289855073,0.09690896739130435,0.7729059401220443,0.9203048592449007,0.9177606943037139,0.9159214062293493,0.9124520904004582,0.9066919247543944,0.8978699502180713,0.8857548790695625,0.863077668619763,0.8438147054936341,0.8040111899202608,0.7680074012071016,0.7485131503590466,0.7300982422133133,0.7109674434997136,0.6906581787743954,0.6617912683378122,0.5990682408916692,0.41371866602052954,0.09426626723644213,0.7518288540417962,0.6381348680870678,0.6398729552657737,0.6411254605342886,0.6434931352997659,0.6470525711854783,0.6521496933700454,0.6586197114589574,0.6732855172399379,0.687319653126998,0.7078207932649541,0.7353199579006637,0.7513168698308892,0.7656532506045358,0.7781897219054063,0.7870540148288604,0.7984843918292338,0.7972689287175075,0.7276422118365765,0.5736626800223207,0.7001824413846979,0.9637137780959398,0.9649298420178869,0.9657742564992013,0.9661024723546372,0.9664927510380843,0.9672826373612338,0.9630318040277105,0.9609559614664638,0.9647383025798708,0.9526641443729699,0.9648575973060393,0.9670383701738996,0.9701611126798313,0.9689619350860705,0.962293956971637,0.9506652713591368,0.909830510882773,0.7804405260584761,0.598281115642535,0.9320113866302315,0.8013622535554591,0.8033782431435765,0.8047413651700737,0.8071218902106367,0.8107989435019428,0.8160815935278004,0.822755734068001,0.8345053329047111,0.8438873600715822,0.8618356292868824,0.8778795182083546,0.8857587184688093,0.8923572672418882,0.898192608193585,0.9032323512802637,0.9087074004511825,0.9170285006491136,0.9343317215093474,0.9635892756043091,0.8625024056340799,0.7767656401434735,0.7767486180772486,0.7767302044226305,0.7766879203259781,0.7763301107923046,0.7754607713595244,0.7739575916367339,0.7725389378509322,0.7717189011757277,0.7640398128502062,0.7610546814184787,0.7591497098414738,0.756388658565273,0.7516540243888009,0.7437271528737894,0.7314925921139279,0.6885388068460034,0.5267456246934207,0.22837144266045697,0.7204263790545464,83560.0,83329.0,83162.0,82847.0,82324.0,81523.0,80423.0,78364.0,76615.0,73001.0,69732.0,67962.0,66290.0,64553.0,62709.0,60088.0,54393.0,37564.0,8559.0,68263.05263157895,4760.0,4991.0,5158.0,5473.0,5996.0,6797.0,7897.0,9956.0,11705.0,15319.0,18588.0,20358.0,22030.0,23767.0,25611.0,28232.0,33927.0,50756.0,79761.0,20056.947368421053,7236.0,7467.0,7634.0,7949.0,8472.0,9273.0,10373.0,12432.0,14181.0,17795.0,21064.0,22834.0,24506.0,26243.0,28087.0,30708.0,36403.0,53232.0,82237.0,22532.947368421053,0.6194293478260869,0.8571957625278531,0.6561594202898551,0.842096920289855,0.8191330014538085,0.5338983050847458,0.4194915254237288,0.046610169491525424,0.499174339246451,0.8304562406485183,1.917561886968706,0.6561196662041946,63753.07764224655,74374,13946,16422,3244,126,99,11,1080.0,8564,0.6294691708166774,0.6382925724637681,0.620886382660029,56374,31946,34422,90796,88320,5489,236
